,property_type,society,sector,price_cr,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,nearbyLoc_score,area_room_ratio
1014,flat,vipul world floors,sector 48,4.3,13870.0,3100.0,Carpet area: 3100 (288 sq.m.),4.0,5.0,3+,4.0,East,New Property,,,3100.0,1.0,1.0,0.0,1.0,0.0,0.0,88.0,60.0,775.0
1015,flat,smart world one dxp,sector 113,3.45,13269.0,2600.0,Super Built up area 2600(241.55 sq.m.),4.0,4.0,3,11.0,South-East,Under Construction,2600.0,,,1.0,1.0,0.0,0.0,0.0,2.0,156.0,62.0,650.0
1016,house,vipul tatvam villa,sector 48,8.5,21250.0,4000.0,Plot area 4000(371.61 sq.m.),4.0,5.0,3+,2.0,North,Moderately Old,,4000.0,,1.0,1.0,0.0,1.0,1.0,2.0,49.0,37.0,1000.0
1017,house,bhim garh kheri,sector 3,0.75,6410.0,1170.0,Plot area 130(108.7 sq.m.),4.0,2.0,2,2.0,West,Old Property,,1170.0,,0.0,0.0,0.0,0.0,0.0,0.0,16.0,62.0,292.5
1018,house,international city by sobha phase 2,sector 109,8.48,23556.0,3600.0,Plot area 400(334.45 sq.m.),4.0,6.0,3+,3.0,North-East,New Property,,3600.0,,1.0,1.0,1.0,1.0,0.0,0.0,153.0,67.0,900.0
1019,flat,tulip violet,sector 69,1.8,8955.0,2010.0,Super Built up area 2010(186.74 sq.m.),4.0,4.0,2,9.0,South-West,Relatively New,2010.0,,,0.0,0.0,0.0,1.0,0.0,2.0,165.0,61.0,502.5
1020,flat,sare crescent parc,sector 92,0.95,5013.0,1895.0,Built Up area: 1895 (176.05 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4.0,5.0,3+,13.0,North,Undefined,,1895.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.75
1021,flat,dlf new town heights,sector 90,1.54,6514.0,2364.0,Super Built up area 2364(219.62 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),4.0,4.0,3+,12.0,South-West,Moderately Old,2364.0,2200.0,1850.0,0.0,1.0,0.0,1.0,0.0,2.0,111.0,27.0,591.0
1022,flat,sare green parc phase 3,sector 92,0.95,4856.0,1956.0,Super Built up area 1956(181.72 sq.m.),4.0,3.0,3,4.0,North,Moderately Old,1956.0,,,0.0,0.0,0.0,0.0,0.0,0.0,67.0,49.0,489.0
1023,flat,ss the leaf,sector 85,2.2,11178.0,1968.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2390 sq.ft. (222.04 sq.m.)Carpet area: 1968 sq.ft. (182.83 sq.m.),4.0,5.0,3+,4.0,West,Relatively New,2812.0,2390.0,1968.0,0.0,1.0,0.0,1.0,0.0,0.0,174.0,63.0,492.0
1024,flat,ireo the grand arch,sector 58,4.85,16934.0,2864.0,Carpet area: 2864 (266.07 sq.m.),4.0,5.0,3,23.0,North-West,Relatively New,,,2864.0,1.0,1.0,0.0,1.0,1.0,2.0,49.0,69.0,716.0
1025,flat,raheja atharva,sector 109,1.6,5319.0,3008.0,Built Up area: 3008 (279.45 sq.m.),4.0,1.0,0,0.0,,New Property,,3008.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,752.0
1026,flat,palam vihar society,sector 2,3.35,7444.0,4500.0,Carpet area: 4500 (418.06 sq.m.),4.0,4.0,3+,2.0,,New Property,,,4500.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,90.0,1125.0
1027,house,independent,sector 28,11.75,41315.0,2844.0,Plot area 316(264.22 sq.m.),4.0,5.0,3+,4.0,East,Relatively New,,2844.0,,1.0,1.0,1.0,0.0,0.0,2.0,54.0,69.0,711.0
1028,flat,parsvnath green ville,sector 48,2.5,12820.0,1950.0,Carpet area: 1950 (181.16 sq.m.),4.0,5.0,3,1.0,South-East,Moderately Old,,,1950.0,0.0,0.0,0.0,0.0,1.0,2.0,49.0,51.0,487.5
1029,flat,dlf new town heights,sector 90,1.42,4864.0,2919.0,Super Built up area 2364(219.62 sq.m.),4.0,4.0,3+,8.0,East,Moderately Old,2364.0,,,0.0,1.0,1.0,0.0,0.0,0.0,31.0,27.0,729.75
1030,flat,tulip violet,sector 69,1.9,9452.0,2010.0,Super Built up area 2010(186.74 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4.0,4.0,2,6.0,West,Relatively New,2010.0,,1500.0,0.0,0.0,1.0,0.0,0.0,0.0,174.0,61.0,502.5
1031,house,bptp visionnaire,sector 70a,5.35,8916.0,6000.0,Built Up area: 6000 (557.42 sq.m.),4.0,4.0,3+,3.0,North,Relatively New,,6000.0,,1.0,1.0,1.0,1.0,0.0,2.0,160.0,32.0,1500.0
1032,house,unitech espace,sector 50,7.35,41761.0,1760.0,Plot area 240(200.67 sq.m.),4.0,4.0,3+,3.0,South,Moderately Old,,2160.0,,0.0,1.0,0.0,1.0,0.0,2.0,52.0,73.0,440.0
1033,flat,tata primanti,sector 72,3.85,13253.0,2905.0,Super Built up area 2905(269.88 sq.m.),4.0,5.0,3+,13.0,North,Relatively New,2905.0,,,0.0,1.0,0.0,0.0,0.0,2.0,174.0,39.0,726.25
1034,flat,corona gracieux,sector 76,1.05,5949.0,1765.0,Super Built up area 1765(163.97 sq.m.),3.0,3.0,3+,7.0,North-East,Relatively New,1765.0,,,0.0,0.0,0.0,0.0,0.0,2.0,133.0,26.0,588.3333333333334
1035,flat,emaar mgf the palm drive,sector 66,3.5,15909.0,2200.0,Super Built up area 2200(204.39 sq.m.)Built Up area: 2125 sq.ft. (197.42 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3.0,3.0,3,7.0,North-East,Moderately Old,2200.0,2125.0,2000.0,0.0,1.0,1.0,0.0,0.0,2.0,149.0,61.0,733.3333333333334
1036,flat,shree vardhman victoria,sector 70,1.65,8461.0,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3.0,5.0,3,6.0,North-East,Relatively New,1950.0,,1161.0,0.0,1.0,0.0,1.0,0.0,0.0,167.0,36.0,650.0
1037,flat,shyam apartment,sector 7,0.66,5739.0,1150.0,Built Up area: 1150 (106.84 sq.m.)Carpet area: 1135 sq.ft. (105.44 sq.m.),3.0,3.0,2,2.0,East,Undefined,,1150.0,1135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,383.3333333333333
1038,house,ats tourmaline,sector 109,1.87,8697.0,2150.0,Built Up area: 2150 (199.74 sq.m.),3.0,4.0,0,12.0,,Undefined,,2150.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,716.6666666666666
1039,flat,orris aster court,sector 85,0.9,5671.0,1587.0,Super Built up area 1587(147.44 sq.m.),3.0,3.0,3,8.0,North-East,Relatively New,1587.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.0,27.0,529.0
1040,flat,on request,sector 103,1.69,9146.0,1848.0,Super Built up area 1845(171.41 sq.m.),3.0,3.0,3+,8.0,,Relatively New,1845.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.0,39.0,616.0
1041,flat,professors enclave cghs,sector 56,1.54,8324.0,1850.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1920 sq.ft. (178.37 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3.0,3.0,2,6.0,South,Old Property,2000.0,1920.0,1850.0,0.0,1.0,0.0,1.0,0.0,2.0,104.0,81.0,616.6666666666666
1042,flat,sare homes,sector 92,0.8,5252.0,1523.0,Carpet area: 1523 (141.49 sq.m.),3.0,3.0,3,7.0,North-West,Relatively New,,,1523.0,1.0,0.0,0.0,0.0,0.0,2.0,80.0,16.0,507.6666666666667
1043,flat,vatika lifestyle homes,sector 83,1.25,6839.0,1828.0,Super Built up area 1827.5(169.78 sq.m.),3.0,2.0,1,6.0,South-West,Relatively New,1827.5,,,1.0,1.0,1.0,1.0,0.0,1.0,174.0,48.0,609.3333333333334
1044,flat,siddhartha apartment,sector 95,0.72,3664.0,1965.0,Super Built up area 1965(182.55 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3.0,3.0,2,4.0,East,Relatively New,1965.0,1800.0,1600.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,16.0,655.0
1045,flat,vatika lifestyle homes,sector 83,1.3,4545.0,2860.0,Super Built up area 2860(265.7 sq.m.),3.0,3.0,1,6.0,North-West,Relatively New,2860.0,,,0.0,0.0,0.0,0.0,0.0,2.0,79.0,48.0,953.3333333333334
